IP地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）,地区码,端口
80.76.32.55,4,4,0,284.1,12.81,FRA,8443
193.37.70.98,4,4,0,235.77,12.81,FRA,2053
92.246.139.197,4,4,0,269.71,12.8,FRA,8443
95.214.10.193,4,4,0,288.3,12.79,FRA,443
92.246.136.55,4,4,0,289.97,12.77,FRA,2053
103.7.55.188,4,4,0,183.71,12.76,MXP,443
212.113.116.127,4,4,0,329.05,12.73,FRA,443
185.233.80.187,4,4,0,258.98,12.72,FRA,443
80.76.32.165,4,4,0,284.41,12.71,FRA,443
45.155.102.203,4,4,0,191.71,12.7,MXP,443
92.118.8.206,4,4,0,271.33,12.65,FRA,443
172.86.68.95,4,4,0,308.96,12.6,FRA,8443
80.76.33.4,4,4,0,276.14,12.59,FRA,8443
194.35.12.70,4,4,0,203.58,12.59,FRA,2052
5.187.4.103,4,4,0,209.33,12.58,FRA,2053
185.207.133.12,4,4,0,235.08,12.58,FRA,443
64.188.68.244,4,4,0,205.36,12.55,FRA,443
80.76.32.55,4,4,0,282.07,12.55,FRA,8443
109.237.97.197,4,4,0,264.61,12.55,FRA,8443
185.233.81.207,4,4,0,283.53,12.54,FRA,443
31.172.70.183,4,4,0,192.35,12.53,FRA,443
157.245.21.166,4,4,0,254.79,12.48,FRA,443
150.241.105.227,4,4,0,261.91,12.48,FRA,8443
77.110.100.122,4,4,0,252.62,12.46,FRA,443
18.196.70.197,4,4,0,199.77,12.41,FRA,443
87.251.88.57,4,4,0,242.77,12.36,FRA,443
83.219.249.108,4,4,0,283.26,12.36,FRA,443
94.159.108.42,4,4,0,190.66,12.33,FRA,443
77.37.33.115,4,3,0.25,230.7,12.32,LAX,2087
92.118.9.243,4,4,0,270.5,12.3,FRA,2053
94.159.111.170,4,4,0,168.51,12.28,FRA,443
91.108.243.104,4,4,0,252.85,12.28,FRA,443
213.108.198.116,4,4,0,278.9,12.27,FRA,443
80.76.33.220,4,4,0,272.96,12.26,FRA,8443
91.132.160.151,4,4,0,170.89,12.26,FRA,443
83.219.249.189,4,4,0,260.27,12.25,FRA,443
178.236.253.23,4,4,0,240.73,12.23,FRA,443
81.95.4.189,4,4,0,213.5,12.21,FRA,443
